entity_text,entity_label,normalized_entity,source_url,sentence
1 June 2022,DATE,1 June 2022,https://en.wikipedia.org/wiki/2022_French_Open_%E2%80%93_Men%27s_singles,"- Fendrich, Howard (1 June 2022)."
1 June 2022,DATE,1 June 2022,https://en.wikipedia.org/wiki/2022_French_Open_%E2%80%93_Men%27s_singles,Retrieved 1 June 2022.
1 June 2022,DATE,1 June 2022,https://en.wikipedia.org/wiki/Carlos_Alcaraz,Archived from the original on 1 June 2022.
1 June 2022,DATE,1 June 2022,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 1 June 2022.
1 June 2023,DATE,1 June 2023,https://en.wikipedia.org/wiki/Carlos_Alcaraz,"- Futterman, Matthew (1 June 2023)."
1 June 2023,DATE,1 June 2023,https://en.wikipedia.org/wiki/Carlos_Alcaraz,Archived from the original on 1 June 2023.
1 June 2023,DATE,1 June 2023,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 1 June 2023.
1 June 2024,DATE,1 June 2024,https://en.wikipedia.org/wiki/Carlos_Alcaraz,Retrieved 1 June 2024.
1 June 2024,DATE,1 June 2024,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 1 June 2024.
1 March,DATE,1 March,https://en.wikipedia.org/wiki/Novak_Djokovic,"On 1 March, Djokovic tied and then surpassed Roger Federer's Open Era record of 310 weeks as world No. 1.[241][242]"
1 March 2001,DATE,1 March 2001,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),"- Bowers, Ray (1 March 2001)."
1 March 2010,DATE,1 March 2010,https://en.wikipedia.org/wiki/Novak_Djokovic,1 March 2010.
1 March 2015,DATE,1 March 2015,https://en.wikipedia.org/wiki/Rafael_Nadal,1 March 2015.
1 March 2020,DATE,1 March 2020,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),Retrieved 1 March 2020.
1 March 2020,DATE,1 March 2020,https://en.wikipedia.org/wiki/Novak_Djokovic,Archived from the original on 1 March 2020.
1 March 2020,DATE,1 March 2020,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 1 March 2020.
1 March 2021,DATE,1 March 2021,https://en.wikipedia.org/wiki/Australian_Open,Retrieved 1 March 2021.
1 March 2021,DATE,1 March 2021,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),Retrieved 1 March 2021.
1 March 2021,DATE,1 March 2021,https://en.wikipedia.org/wiki/Novak_Djokovic,Archived from the original on 1 March 2021.
1 March 2022,DATE,1 March 2022,https://en.wikipedia.org/wiki/2022_French_Open_%E2%80%93_Men%27s_singles,1 March 2022.
1 March 2022,DATE,1 March 2022,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),"- On 1 March 2022, the WTA announced that players from Russia and Belarus would not be allowed to compete under the name or flag of Russia or Belarus following the 2022 Russian invasion of Ukraine.[131"
1 March 2022,DATE,1 March 2022,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),1 March 2022.
1 March 2023,DATE,1 March 2023,https://en.wikipedia.org/wiki/Carlos_Alcaraz,1 March 2023.
1 March 2023,DATE,1 March 2023,https://en.wikipedia.org/wiki/Wimbledon_Championships,Retrieved 1 March 2023.
1 May 2015,DATE,1 May 2015,https://en.wikipedia.org/wiki/Novak_Djokovic,1 May 2015.
1 May 2017,DATE,1 May 2017,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 1 May 2017.
1 May 2017,DATE,1 May 2017,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 1 May 2017.
1 May 2022,DATE,1 May 2022,https://en.wikipedia.org/wiki/Rafael_Nadal,1 May 2022.
1 May 2023,DATE,1 May 2023,https://en.wikipedia.org/wiki/Novak_Djokovic,Archived from the original on 1 May 2023.
1 November 2014,DATE,1 November 2014,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 1 November 2014.
1 November 2018,DATE,1 November 2018,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 1 November 2018.
1 November 2020,DATE,1 November 2020,https://en.wikipedia.org/wiki/Novak_Djokovic,- Bartosz Gębicz (1 November 2020).
1 November 2023,DATE,1 November 2023,https://en.wikipedia.org/wiki/Novak_Djokovic,Archived from the original on 1 November 2023.
1 November.[69,DATE,1 November.[69,https://en.wikipedia.org/wiki/Carlos_Alcaraz,"He then defeated world No. 7 Matteo Berrettini to claim a second career top 10 win, and entered the top 35 on 1 November.[69]"
1 October 1988,DATE,1 October 1988,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),1 October 1988.
1 October 2014,DATE,1 October 2014,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 1 October 2014.
1 October 2023,DATE,1 October 2023,https://en.wikipedia.org/wiki/Carlos_Alcaraz,"- Palmer, Kevin (1 October 2023)."
1 October 2023,DATE,1 October 2023,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),1 October 2023.
1 September 2007,DATE,1 September 2007,https://en.wikipedia.org/wiki/Rafael_Nadal,1 September 2007.
1 September 2012,DATE,1 September 2012,https://en.wikipedia.org/wiki/Wimbledon_Championships,Retrieved 1 September 2012.
1 September 2021,DATE,1 September 2021,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 1 September 2021.
1 September 2022,DATE,1 September 2022,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 1 September 2022.
10 April 2016,DATE,10 April 2016,https://en.wikipedia.org/wiki/Novak_Djokovic,"On 10 April 2016, while in town for the Monte-Carlo Masters, Djokovic opened a vegan restaurant called Eqvita in Monte Carlo.[464]"
10 April 2019,DATE,10 April 2019,https://en.wikipedia.org/wiki/Carlos_Alcaraz,"- Addicott, Adam (10 April 2019)."
10 April 2022,DATE,10 April 2022,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),Archived from the original on 10 April 2022.
10 April 2025,DATE,10 April 2025,https://en.wikipedia.org/wiki/Novak_Djokovic,Archived from the original on 10 April 2025.
10 August 2015,DATE,10 August 2015,https://en.wikipedia.org/wiki/French_Open,Archived from the original on 10 August 2015.
10 August 2018,DATE,10 August 2018,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 10 August 2018.
10 August 2018,DATE,10 August 2018,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 10 August 2018.
10 August 2019,DATE,10 August 2019,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 10 August 2019.
10 August 2021,DATE,10 August 2021,https://en.wikipedia.org/wiki/Rafael_Nadal,10 August 2021.
10 December 2010,DATE,10 December 2010,https://en.wikipedia.org/wiki/Rafael_Nadal,"- Cowles, Charlotte (10 December 2010)."
10 December 2015,DATE,10 December 2015,https://en.wikipedia.org/wiki/Rafael_Nadal,10 December 2015.
10 December 2021,DATE,10 December 2021,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),Archived from the original on 10 December 2021.
10 February 2009,DATE,10 February 2009,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 10 February 2009.
10 February 2018,DATE,10 February 2018,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 10 February 2018.
10 February 2025,DATE,10 February 2025,https://en.wikipedia.org/wiki/Carlos_Alcaraz,10 February 2025.
10 January,DATE,10 January,https://en.wikipedia.org/wiki/Novak_Djokovic,"On 10 January, the Federal Circuit and Family Court of Australia ruled in Djokovic's favour, ordering his release and noting that he was denied sufficient time to consult with lawyers and tennis officials before his interview.[261]"
10 January 2006,DATE,10 January 2006,https://en.wikipedia.org/wiki/Rafael_Nadal,10 January 2006.
10 January 2011,DATE,10 January 2011,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 10 January 2011.
10 January 2014,DATE,10 January 2014,https://en.wikipedia.org/wiki/Novak_Djokovic,10 January 2014.
10 January 2015,DATE,10 January 2015,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),Retrieved 10 January 2015.
10 January 2016,DATE,10 January 2016,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 10 January 2016.
10 January 2017,DATE,10 January 2017,https://en.wikipedia.org/wiki/Australian_Open,Archived from the original (PDF) on 10 January 2017.
10 January 2018,DATE,10 January 2018,https://en.wikipedia.org/wiki/Australian_Open,10 January 2018.
10 January 2020,DATE,10 January 2020,https://en.wikipedia.org/wiki/Novak_Djokovic,"s Connected, 10 January 2020 - ""US Open 2022: Djokovic, Medvedev Early Favorites but Will the Serb Be Allowed to Compete?""."
10 January 2022,DATE,10 January 2022,https://en.wikipedia.org/wiki/Novak_Djokovic,Archived from the original on 10 January 2022.
10 January 2022,DATE,10 January 2022,https://en.wikipedia.org/wiki/Novak_Djokovic,"- ""Order of JUDGE A KELLY dated 10 January 2022"" (PDF)."
10 January 2022,DATE,10 January 2022,https://en.wikipedia.org/wiki/Novak_Djokovic,"- Rumsby, Ben (10 January 2022). ""."
10 January 2022,DATE,10 January 2022,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 10 January 2022.
10 January 2022,DATE,10 January 2022,https://en.wikipedia.org/wiki/Novak_Djokovic,"- ""Gurus and 'pyramids': Djokovic's fondness for quirky remedies"". France 24. 10 January 2022."
10 January 2022,DATE,10 January 2022,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 10 January 2022.
10 January 2023,DATE,10 January 2023,https://en.wikipedia.org/wiki/Carlos_Alcaraz,"- Bein, Kat (10 January 2023)."
10 January 2024,DATE,10 January 2024,https://en.wikipedia.org/wiki/Carlos_Alcaraz,10 January 2024.
10 July 2006,DATE,10 July 2006,https://en.wikipedia.org/wiki/Rafael_Nadal,10 July 2006.
10 July 2012,DATE,10 July 2012,https://en.wikipedia.org/wiki/Wimbledon_Championships,Retrieved 10 July 2012.
10 July 2014,DATE,10 July 2014,https://en.wikipedia.org/wiki/Novak_Djokovic,"The two became engaged in September 2013, and on 10 July 2014 the couple were married on Montenegro's Sveti Stefan island, in the Serbian Orthodox Church of Saint Stephen (Serbian: Црква Светог Архиђакона Стефана).[20][21][22]"
10 July 2014,DATE,10 July 2014,https://en.wikipedia.org/wiki/Novak_Djokovic,10 July 2014.
10 July 2014,DATE,10 July 2014,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 10 July 2014.
10 July 2014,DATE,10 July 2014,https://en.wikipedia.org/wiki/Wimbledon_Championships,Archived from the original on 10 July 2014.
10 July 2015,DATE,10 July 2015,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 10 July 2015.
10 July 2016,DATE,10 July 2016,https://en.wikipedia.org/wiki/Wimbledon_Championships,Retrieved 10 July 2016.
10 July 2017,DATE,10 July 2017,https://en.wikipedia.org/wiki/Carlos_Alcaraz,"- Ilic, Jovica (10 July 2017)."
10 July 2017,DATE,10 July 2017,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),Archived from the original on 10 July 2017.
10 July 2018,DATE,10 July 2018,https://en.wikipedia.org/wiki/Novak_Djokovic,10 July 2018.
10 July 2020,DATE,10 July 2020,https://en.wikipedia.org/wiki/Wimbledon_Championships,- Jonathan (10 July 2020).
10 July 2021,DATE,10 July 2021,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 10 July 2021.
10 July 2021,DATE,10 July 2021,https://en.wikipedia.org/wiki/Wimbledon_Championships,Archived from the original on 10 July 2021.
10 July 2021,DATE,10 July 2021,https://en.wikipedia.org/wiki/Wimbledon_Championships,Retrieved 10 July 2021.
10 July 2022,DATE,10 July 2022,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 10 July 2022.
10 July 2022,DATE,10 July 2022,https://en.wikipedia.org/wiki/Novak_Djokovic,10 July 2022.
10 July 2022,DATE,10 July 2022,https://en.wikipedia.org/wiki/Wimbledon_Championships,"est in sport - Miller, Ben (10 July 2022)."
10 July 2025,DATE,10 July 2025,https://en.wikipedia.org/wiki/Carlos_Alcaraz,Retrieved 10 July 2025.
10 July 2025,DATE,10 July 2025,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 10 July 2025.
10 June 1984,DATE,10 June 1984,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),10 June 1984.
10 June 2005,DATE,10 June 2005,https://en.wikipedia.org/wiki/Rafael_Nadal,10 June 2005.
10 June 2011,DATE,10 June 2011,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),Archived from the original on 10 June 2011.
10 June 2012,DATE,10 June 2012,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 10 June 2012.
10 June 2012,DATE,10 June 2012,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 10 June 2012.
10 June 2013,DATE,10 June 2013,https://en.wikipedia.org/wiki/Rafael_Nadal,10 June 2013.
10 June 2013,DATE,10 June 2013,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 10 June 2013.
10 June 2013,DATE,10 June 2013,https://en.wikipedia.org/wiki/Rafael_Nadal,"- Gaines, Cork (10 June 2013)."
10 June 2014,DATE,10 June 2014,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 10 June 2014.
10 June 2015,DATE,10 June 2015,https://en.wikipedia.org/wiki/French_Open,10 June 2015.
10 June 2016,DATE,10 June 2016,https://en.wikipedia.org/wiki/Novak_Djokovic,Archived from the original on 10 June 2016.
10 June 2017,DATE,10 June 2017,https://en.wikipedia.org/wiki/French_Open,"- Gershkovich, Evan (10 June 2017)."
10 June 2017,DATE,10 June 2017,https://en.wikipedia.org/wiki/French_Open,- Evan Gershkovich (10 June 2017).
10 June 2018,DATE,10 June 2018,https://en.wikipedia.org/wiki/Rafael_Nadal,10 June 2018.
10 June 2019,DATE,10 June 2019,https://en.wikipedia.org/wiki/Rafael_Nadal,10 June 2019.
10 June 2019,DATE,10 June 2019,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 10 June 2019.
10 June 2019,DATE,10 June 2019,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 10 June 2019.
10 June 2022,DATE,10 June 2022,https://en.wikipedia.org/wiki/Carlos_Alcaraz,10 June 2022.
10 June 2022,DATE,10 June 2022,https://en.wikipedia.org/wiki/Rafael_Nadal,10 June 2022.
10 June 2024,DATE,10 June 2024,https://en.wikipedia.org/wiki/Carlos_Alcaraz,Archived from the original on 10 June 2024.
10 June 2024,DATE,10 June 2024,https://en.wikipedia.org/wiki/Carlos_Alcaraz,"- Carayol, Tumaini (10 June 2024)."
10 June 2024,DATE,10 June 2024,https://en.wikipedia.org/wiki/Carlos_Alcaraz,Retrieved 10 June 2024.
10 March 2021,DATE,10 March 2021,https://en.wikipedia.org/wiki/Grand_Slam_(tennis),Retrieved 10 March 2021.
10 May 2009,DATE,10 May 2009,https://en.wikipedia.org/wiki/Novak_Djokovic,10 May 2009.
10 May 2011,DATE,10 May 2011,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 10 May 2011.
10 May 2012,DATE,10 May 2012,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 10 May 2012.
10 May 2015,DATE,10 May 2015,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 10 May 2015.
10 May 2015,DATE,10 May 2015,https://en.wikipedia.org/wiki/Rafael_Nadal,10 May 2015.
10 May 2018,DATE,10 May 2018,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 10 May 2018.
10 May 2020,DATE,10 May 2020,https://en.wikipedia.org/wiki/Novak_Djokovic,Archived from the original on 10 May 2020.
10 May 2022,DATE,10 May 2022,https://en.wikipedia.org/wiki/2022_French_Open_%E2%80%93_Men%27s_singles,"- ""Roland-Garros 2022: wildcards announced"". 10 May 2022."
10 May 2022,DATE,10 May 2022,https://en.wikipedia.org/wiki/French_Open,Archived from the original on 10 May 2022.
10 November 2003,DATE,10 November 2003,https://en.wikipedia.org/wiki/2022_French_Open_%E2%80%93_Men%27s_singles,"One week later, when points from the previous year's tournament were dropped,[11] Medvedev reclaimed the top ranking, while Zverev reached world No. 2, ending the Big Three's streak in the top two spots since 10 November 2003."
10 November 2013,DATE,10 November 2013,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 10 November 2013.
10 November 2021,DATE,10 November 2021,https://en.wikipedia.org/wiki/Novak_Djokovic,"- Bruno, Santos (10 November 2021)."
10 November 2023,DATE,10 November 2023,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 10 November 2023.
10 November 2023,DATE,10 November 2023,https://en.wikipedia.org/wiki/Rafael_Nadal,Archived from the original on 10 November 2023.
10 October 2010,DATE,10 October 2010,https://en.wikipedia.org/wiki/Rafael_Nadal,10 October 2010.
10 October 2021,DATE,10 October 2021,https://en.wikipedia.org/wiki/Carlos_Alcaraz,"- Media, P. A. (10 October 2021)."
10 October 2022,DATE,10 October 2022,https://en.wikipedia.org/wiki/Carlos_Alcaraz,Archived from the original on 10 October 2022.
10 October 2022,DATE,10 October 2022,https://en.wikipedia.org/wiki/Carlos_Alcaraz,Retrieved 10 October 2022.
10 October 2022,DATE,10 October 2022,https://en.wikipedia.org/wiki/Rafael_Nadal,10 October 2022.
10 October 2022,DATE,10 October 2022,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 10 October 2022.
10 October 2023,DATE,10 October 2023,https://en.wikipedia.org/wiki/Carlos_Alcaraz,Archived from the original on 10 October 2023.
10 October 2023,DATE,10 October 2023,https://en.wikipedia.org/wiki/Novak_Djokovic,Retrieved 10 October 2023.
10 October 2024,DATE,10 October 2024,https://en.wikipedia.org/wiki/Carlos_Alcaraz,BBC Sport. 10 October 2024.
10 October 2024,DATE,10 October 2024,https://en.wikipedia.org/wiki/Rafael_Nadal,"On 10 October 2024, Nadal stated his intention to retire from the sport after playing for Spain in the Davis Cup Finals in Málaga, Spain, in November.[372][373][374]"
10 October 2024,DATE,10 October 2024,https://en.wikipedia.org/wiki/Rafael_Nadal,"- Jurejko, Jonathan (10 October 2024)."
10 October 2024,DATE,10 October 2024,https://en.wikipedia.org/wiki/Rafael_Nadal,Retrieved 10 October 2024.
10 October 2024,DATE,10 October 2024,https://en.wikipedia.org/wiki/Rafael_Nadal,"- Silk, John (10 October 2024)."
